document_path,from_index,to_index
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,11,12
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,12,13
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,13,14
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,14,15
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,15,16
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,16,17
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,17,18
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,18,19
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,19,20
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,20,21
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,21,22
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,22,23
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,23,24
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,24,25
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,25,26
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,26,27
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,27,28
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,28,29
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,29,30
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,30,31
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_2-entities-and-relationships.pdf,31,32
/Users/t6w652j6ft/Documents/GitHub/workshop-agent-memory-scripts/kg/data/workshop-agent-memory_3-long-term-memory_3-deduplication.pdf,0,1
